rank,word,similarity
881,cavalcade,0.34190453
882,untacked,0.34189755
883,noseband,0.34182294
884,faun,0.34181151
885,fur,0.34179940
886,hoop,0.34179709
887,harslet,0.34177955
888,thoroughbrace,0.34174966
889,hokypoky,0.34173149
890,driver,0.34170321
891,hatrack,0.34166355
892,guinea,0.34152813
893,hong,0.34148419
894,rower,0.34142729
895,extra,0.34131858
896,gaited,0.34131657
897,foundered,0.34131142
898,wood,0.34130850
899,crossbreed,0.34130298
900,bourne,0.34130195
901,capric,0.34127576
902,trode,0.34123287
903,farmhand,0.34121842
904,pardner,0.34112296
905,cowpuncher,0.34107423
906,saddlecloth,0.34104335
907,hic,0.34099121
908,camelopard,0.34094887
909,equinity,0.34088745
910,reshoeing,0.34086040
911,hup,0.34076256
912,shed,0.34074347
913,hind,0.34068292
914,crane,0.34066992
915,worthy,0.34063163
916,derby,0.34060006
917,staghound,0.34059281
918,rote,0.34058237
919,rive,0.34050609
920,cavaletti,0.34048545
921,shore,0.34040327
922,pone,0.34035272
923,hulky,0.34028676
924,deerhound,0.34019131
925,high,0.34018423
926,hippopotami,0.34015036
927,clover,0.34012123
928,murrha,0.34008599
929,face,0.34005847
930,hoorah,0.34003729
931,drug,0.34003277
932,hope,0.34001793
933,cargo,0.34000724
934,hoosgow,0.33999055
935,caprice,0.33993625
936,coachmen,0.33988449
937,warmblooded,0.33988133
938,heroine,0.33983892
939,craft,0.33969815
940,stripe,0.33968431
941,big,0.33964395
942,stable,0.33958492
943,hennery,0.33956306
944,hocked,0.33954007
945,pinto,0.33952229
946,gayal,0.33937754
947,helper,0.33934032
948,hauler,0.33927787
949,loan,0.33917353
950,huzza,0.33905485
951,stockish,0.33904776
952,wish,0.33904239
953,footrace,0.33897690
954,barleycorn,0.33896298
955,oater,0.33893263
956,addax,0.33892929
957,hung,0.33892718
958,horseplay,0.33890910
959,bubale,0.33884829
960,offtrack,0.33880700
961,hag,0.33879817
962,game,0.33878144
963,actor,0.33872300
964,shippon,0.33868720
965,wildebeest,0.33863790
966,swith,0.33857307
967,strongyle,0.33854154
968,phocine,0.33853934
969,herb,0.33852317
970,trust,0.33849330
971,hardnose,0.33849318
972,trailer,0.33848832
973,quadruped,0.33846296
974,cope,0.33838447
975,saddleless,0.33837620
976,castle,0.33833278
977,chine,0.33828443
978,trod,0.33826984
979,steeplechasing,0.33820923
980,haunched,0.33811855
981,hole,0.33810183
982,toad,0.33805940
983,rein,0.33799739
984,hosed,0.33791603
985,holp,0.33791534
986,plough,0.33789939
987,hack,0.33785038
988,buggy,0.33778660
989,ledge,0.33777827
990,football,0.33765111
991,moggy,0.33751110
992,herry,0.33747802
993,chicken,0.33741970
994,jag,0.33738997
995,farriery,0.33727092
996,showboat,0.33723964
997,mastodon,0.33722346
998,porky,0.33720905
999,brave,0.33719796
1000,corvette,0.33709924
1001,cavaliered,0.33709639
1002,multure,0.33709120
1003,portrait,0.33703890
1004,hirsled,0.33699699
1005,honda,0.33695593
1006,rod,0.33690195
1007,hybrid,0.33690082
1008,saddlebow,0.33686614
1009,hoarier,0.33677603
1010,camlet,0.33677386
1011,bullhorn,0.33673311
1012,mack,0.33668967
1013,shot,0.33668119
1014,paddocking,0.33666179
1015,cruzado,0.33665338
1016,holder,0.33659820
1017,caribous,0.33651112
1018,lady,0.33648963
1019,rose,0.33647990
1020,bare,0.33633190
1021,spirit,0.33629642
1022,winner,0.33623497
1023,llama,0.33619918
1024,hydro,0.33612803
1025,gemsbuck,0.33611851
1026,beef,0.33610689
1027,cavally,0.33606393
1028,dock,0.33600354
1029,more,0.33597536
1030,class,0.33593992
1031,bold,0.33588055
1032,buckish,0.33585429
1033,hoptoad,0.33572985
1034,hospital,0.33572401
1035,rifle,0.33571309
1036,lobe,0.33566687
1037,harlequin,0.33565390
1038,crop,0.33564743
1039,holstered,0.33563712
1040,unicycle,0.33548429
1041,fox,0.33547152
1042,whiskey,0.33541605
1043,sabre,0.33528983
1044,sleigh,0.33521129
1045,cowrote,0.33518688
1046,hoke,0.33518656
1047,caprioled,0.33514017
1048,phaeton,0.33514014
1049,hoary,0.33509263
1050,comic,0.33508426
1051,waggoner,0.33506054
1052,rush,0.33504962
1053,yak,0.33503532
1054,shirt,0.33502223
1055,eagle,0.33496613
1056,hoosegow,0.33493885
1057,gaucho,0.33493001
1058,hobbledehoy,0.33491967
1059,headfish,0.33472487
1060,herbivore,0.33465803
1061,lease,0.33461141
1062,scoped,0.33460899
1063,behemoth,0.33445298
1064,poodle,0.33444933
1065,fortunate,0.33443021
1066,poster,0.33440282
1067,heehawed,0.33438913
1068,hone,0.33427398
1069,cameleer,0.33419702
1070,pass,0.33419666
1071,boor,0.33415744
1072,holiday,0.33415412
1073,mach,0.33413532
1074,barebacked,0.33411055
1075,snort,0.33409306
1076,horah,0.33408338
1077,loaded,0.33394280
1078,ha,0.33391747
1079,zoon,0.33379210
1080,nilghau,0.33372587
1081,fund,0.33364962
1082,tameable,0.33364628
1083,resaddling,0.33364058
1084,whored,0.33360420
1085,hale,0.33358542
1086,kolo,0.33356758
1087,star,0.33356746
1088,subject,0.33354902
1089,piggie,0.33352268
1090,ferry,0.33350518
1091,lion,0.33336398
1092,prop,0.33332549
1093,hold,0.33331461
1094,enterprise,0.33331215
1095,hausen,0.33327676
1096,bettor,0.33311826
1097,macho,0.33311254
1098,brute,0.33309059
1099,ponced,0.33307183
1100,tram,0.33307145
1101,ponytailed,0.33306228
1102,hollyhock,0.33305266
1103,whiffletree,0.33302766
1104,borne,0.33295297
1105,bighorn,0.33288072
1106,honer,0.33286325
1107,rente,0.33283435
1108,bullwhip,0.33274124
1109,favorite,0.33272879
1110,shorthorn,0.33270891
1111,pool,0.33263232
1112,gazelle,0.33261162
1113,have,0.33257469
1114,fire,0.33257155
1115,whoremaster,0.33255299
1116,muscle,0.33252685
1117,cantered,0.33251825
1118,hotblood,0.33243216
1119,buckeye,0.33236688
1120,trophy,0.33236387
1121,snaffle,0.33236140
1122,cervid,0.33235854
1123,hoariness,0.33225151
1124,cavy,0.33222747
1125,razorback,0.33220731
1126,hogged,0.33220341
1127,whitetail,0.33217593
1128,joker,0.33217185
1129,draft,0.33215169
1130,locomotive,0.33214897
1131,hick,0.33213713
1132,longhair,0.33212233
1133,hunk,0.33211471
1134,goatherd,0.33206094
1135,cavalierly,0.33205246
1136,tittup,0.33203982
1137,unhitch,0.33201453
1138,hockshop,0.33199891
1139,argent,0.33196456
1140,humpbacked,0.33195943
