rank,word,similarity
878,conceptualism,0.35392418
879,barbarity,0.35391875
880,ultrarealism,0.35386246
881,fight,0.35379140
882,irate,0.35372630
883,tip,0.35368570
884,editor,0.35361980
885,biz,0.35361483
886,hist,0.35361403
887,illustrator,0.35360182
888,pace,0.35360181
889,jest,0.35355495
890,aroma,0.35349357
891,widget,0.35346223
892,written,0.35345474
893,pizazz,0.35336138
894,tachism,0.35333938
895,unto,0.35324306
896,sex,0.35320932
897,surrealism,0.35309094
898,tao,0.35305122
899,ortho,0.35300014
900,vision,0.35299144
901,spirt,0.35296383
902,ample,0.35292307
903,caret,0.35288970
904,copy,0.35280960
905,money,0.35280634
906,sign,0.35271148
907,habit,0.35269293
908,paintier,0.35264675
909,tractive,0.35256569
910,arythmia,0.35254743
911,drat,0.35238519
912,artificialness,0.35237992
913,coloratura,0.35236832
914,experience,0.35233276
915,med,0.35228284
916,today,0.35216586
917,edition,0.35213877
918,pice,0.35213631
919,brush,0.35213438
920,arrayal,0.35211051
921,created,0.35210531
922,grat,0.35209631
923,abstractest,0.35207129
924,originality,0.35190327
925,articular,0.35187446
926,piano,0.35182325
927,policy,0.35181781
928,credit,0.35180535
929,pleinairism,0.35167714
930,ought,0.35148008
931,aestheticizing,0.35147798
932,capriccio,0.35146961
933,draftsmanship,0.35144148
934,topic,0.35141810
935,ropy,0.35138345
936,job,0.35131945
937,antic,0.35123887
938,cooking,0.35123845
939,football,0.35119967
940,course,0.35112859
941,information,0.35112003
942,atrium,0.35111678
943,hereat,0.35107547
944,destruct,0.35100896
945,be,0.35098918
946,sense,0.35083826
947,dating,0.35083315
948,annotation,0.35077232
949,bricolage,0.35075397
950,gradation,0.35072108
951,bold,0.35070578
952,army,0.35069633
953,specialty,0.35067991
954,argyle,0.35067810
955,typograph,0.35063581
956,invention,0.35054800
957,hat,0.35050483
958,argument,0.35040135
959,now,0.35039700
960,tableau,0.35038608
961,paraph,0.35032565
962,scientific,0.35027538
963,volution,0.35027145
964,tutting,0.35023219
965,stylize,0.35019726
966,tharm,0.35013674
967,strategy,0.35011982
968,porn,0.35011930
969,doodle,0.35009120
970,pazazz,0.35005313
971,pat,0.34997524
972,menu,0.34995502
973,balletic,0.34991199
974,permission,0.34988748
975,ability,0.34984231
976,scene,0.34980370
977,painted,0.34980022
978,typescript,0.34976174
979,port,0.34973816
980,promo,0.34973029
981,bow,0.34973000
982,expert,0.34971865
983,garden,0.34970007
984,observe,0.34969089
985,verism,0.34963813
986,centre,0.34960157
987,mad,0.34957539
988,office,0.34957514
989,critique,0.34956959
990,cant,0.34955251
991,montage,0.34947139
992,catalog,0.34943326
993,atticism,0.34941206
994,building,0.34939980
995,intellect,0.34939862
996,cafe,0.34938164
997,litho,0.34937645
998,icon,0.34936973
999,realism,0.34935426
1000,culti,0.34934105
1001,living,0.34930844
1002,tactic,0.34930058
1003,waitress,0.34928909
1004,left,0.34924947
1005,aced,0.34922878
1006,wert,0.34918218
1007,liblab,0.34913881
1008,remark,0.34900407
1009,stagy,0.34883133
1010,form,0.34878970
1011,ache,0.34871269
1012,picturing,0.34867199
1013,operation,0.34863515
1014,cutwork,0.34863512
1015,dire,0.34861314
1016,ail,0.34860835
1017,eeriness,0.34855863
1018,marvel,0.34854359
1019,program,0.34853263
1020,curve,0.34850320
1021,clinic,0.34848286
1022,alive,0.34845744
1023,critical,0.34845536
1024,erotica,0.34843822
1025,dent,0.34839638
1026,plan,0.34834684
1027,atma,0.34830151
1028,awa,0.34829301
1029,literary,0.34825598
1030,pht,0.34824018
1031,mental,0.34814981
1032,trap,0.34814144
1033,curter,0.34811014
1034,apterium,0.34805671
1035,camera,0.34799701
1036,ovation,0.34796954
1037,par,0.34796678
1038,axed,0.34793570
1039,flair,0.34792919
1040,purpose,0.34788651
1041,bad,0.34787165
1042,dadaist,0.34782889
1043,handcraftsmanship,0.34777699
1044,plot,0.34777348
1045,anta,0.34776698
1046,street,0.34776154
1047,rococo,0.34775261
1048,ad,0.34770616
1049,intelligence,0.34769199
1050,classical,0.34768158
1051,respect,0.34766559
1052,assist,0.34764497
1053,agate,0.34754694
1054,accent,0.34754443
1055,attitude,0.34750834
1056,warwork,0.34749830
1057,emotion,0.34749631
1058,justice,0.34749229
1059,academia,0.34742217
1060,task,0.34741323
1061,wort,0.34738511
1062,ai,0.34733417
1063,understanding,0.34726988
1064,raw,0.34723029
1065,metrical,0.34717749
1066,unique,0.34717018
1067,card,0.34716273
1068,organic,0.34714989
1069,sty,0.34714469
1070,whatever,0.34713619
1071,our,0.34712790
1072,how,0.34707702
1073,agenting,0.34705769
1074,red,0.34704435
1075,anti,0.34697009
1076,ess,0.34692940
1077,painterliness,0.34692365
1078,pictorialization,0.34689036
1079,emphasis,0.34687536
1080,phasis,0.34682700
1081,aestheticized,0.34681837
1082,crystal,0.34674899
1083,mannerist,0.34674347
1084,versed,0.34663755
1085,typo,0.34660062
1086,kit,0.34652581
1087,belletristic,0.34652383
1088,pastel,0.34650105
1089,formation,0.34649779
1090,theatricality,0.34647463
1091,chore,0.34645272
1092,tatting,0.34637336
1093,site,0.34634702
1094,glitter,0.34633430
1095,ick,0.34631394
1096,articulating,0.34630628
1097,commerce,0.34630260
1098,ice,0.34629787
1099,astronomy,0.34626037
1100,paintbrush,0.34624345
1101,et,0.34622581
1102,use,0.34621856
1103,salon,0.34621326
1104,restaurant,0.34616380
1105,code,0.34613774
1106,breath,0.34611215
1107,girl,0.34607839
1108,antically,0.34599036
1109,observation,0.34597728
1110,artisanal,0.34595089
1111,medium,0.34591836
1112,anything,0.34587612
1113,studwork,0.34586037
1114,esthete,0.34579435
1115,criticism,0.34574986
1116,modernism,0.34571708
1117,casting,0.34571128
1118,woodcarving,0.34567649
1119,aryl,0.34567384
1120,arabic,0.34556865
1121,success,0.34555969
1122,mediate,0.34553045
1123,drapery,0.34543610
1124,acute,0.34536888
1125,press,0.34532040
1126,ikebana,0.34531814
1127,aitch,0.34531660
1128,movie,0.34509255
1129,adobe,0.34506282
1130,apple,0.34506060
1131,charm,0.34502137
1132,scrollwork,0.34501349
1133,verismo,0.34498202
1134,variety,0.34497309
1135,postworkshop,0.34478852
1136,herb,0.34478749
1137,ammo,0.34473785
1138,agenda,0.34470291
1139,er,0.34469021
1140,chess,0.34460937
1141,antiarin,0.34455004
1142,areae,0.34445270
1143,arcing,0.34443599
1144,original,0.34433456
1145,carat,0.34430878
1146,carn,0.34428964
1147,theatricalism,0.34428703
1148,crittur,0.34425561
1149,kino,0.34425423
1150,havartis,0.34424934
1151,nonstyle,0.34422908
1152,curio,0.34421894
1153,orphic,0.34421120
1154,haiku,0.34420781
1155,talented,0.34419693
1156,contrast,0.34418808
1157,abler,0.34417457
1158,logo,0.34416291
1159,training,0.34408637
1160,ailing,0.34407992
1161,ama,0.34407742
1162,tarty,0.34407347
1163,techy,0.34405371
1164,meta,0.34402886
1165,interpret,0.34399779
1166,eurhythmy,0.34398338
1167,statue,0.34396841
1168,taste,0.34395688
1169,question,0.34389541
1170,fat,0.34382523
1171,sat,0.34382251
1172,virtus,0.34380068
1173,architectonic,0.34378910
1174,bur,0.34371336
1175,bio,0.34367943
1176,brain,0.34366926
1177,communication,0.34363714
1178,certainty,0.34359732
1179,parura,0.34349224
1180,revision,0.34344473
1181,revolution,0.34342146
1182,activism,0.34335836
1183,arrangement,0.34335555
1184,aural,0.34329191
1185,labor,0.34326800
1186,venture,0.34322359
1187,sartorii,0.34317075
1188,painterly,0.34311235
1189,layout,0.34309945
1190,atonalist,0.34309421
1191,writer,0.34308385
1192,sartor,0.34302409
1193,curated,0.34300290
1194,opinion,0.34295601
1195,ay,0.34293997
1196,got,0.34292745
1197,ingredient,0.34290202
1198,lear,0.34285730
1199,blood,0.34279283
1200,citation,0.34278591
1201,cultural,0.34274035
1202,bit,0.34268875
1203,shtick,0.34266171
